Text	Category_F	Category_N	Category_P	Category_R	Category_Sa	Category_Sh	Category_Sc	Category_So	Category_T	Likelihood_F	Likelihood_N	Likelihood_P	Likelihood_R	Likelihood_Sa	Likelihood_Sh	Likelihood_Sc	Likelihood_So	Likelihood_T	Severity_F	Severity_N	Severity_P	Severity_R	Severity_Sa	Severity_Sh	Severity_Sc	Severity_So	Severity_T
Given that a solution for vision-based navigation (VBN) in a free-flying robot has limited resources (size, power, computation), there is a possibility that pose estimation will not meet the required accuracy, resulting in poor performance for some 0g robotics research tasks.	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5
Given that avionics and fans make noise, there is a possibility that the desired Astrobee design will not meet ISS safety standards, resulting in either it not being certified for operations on ISS, or a fan design with low noise but inferior performance will be used.	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0.25
Given the serial Prototyping and Flight development efforts, there is a possibility that the flight unit delivery will be delayed. Any delay in delivery will reduce the time available to perform on-orbit commissioning work in FY19.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0	0	0
Given the sum of all the new design and design changes that resulted from P4C tests, PSRP 2 and PTR 3, there is a possibility that the design will not close if we go straight to the Cert Unit.	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0.5
Transitioning from a technology demonstration to an operational system is a significant challenge. Successfully performing a task without crew intervention and also reducing crew workload is critical to proving the utility of R2. A key risk is that R2 will not be robust enough to operate repeatedly without crew intervention (e.g., system reboots).	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1
Developing robust path planning and obstacle avoidance software algorithms is a major challenge. Creating software to parameterize possible grasps will also be key to developing a supervisory control interface that is easily adaptable to real time situations. The risk is that R2’s safety control and monitoring system limits its capabilities, reducing its effectiveness and ability to quickly respond to on-orbit requests for support. 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
HET2 will perform risk management in accordance with NPR 8000.4A (Agency Risk Management Procedural Requirements). HET2 will use Continuous Risk Management to identify, track and mitigate risks. Each HET2 Element will develop and maintain a Risk List, which will describe the risk #, description, likelihood by consequence (LxC) score, handling strategy (mitigate, watch, accept, etc.), action plan (contingency or mitigation plan) and status. The risk lists will be reviewed monthly and updated to reflect newly identified risks, assessment-ranking changes, and status of the respective mitigation plans. The top Project Risks and status will be reported in the quarterly report.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The costs and schedule for this project were planned with a resources loaded schedule that includes appropriate reserves commensurate with project phase and risk. With that said, unforeseen challenges may arise in any advanced technology project that exhaust planned resources. In these cases the project will submit at Change Request to the GCD Program to request additional resources and/or reduce project scope.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The major challenges and risks associated with Astrobee validation and testing parallel the same risks in Astrobee development. Astrobee will need meet the success criteria established for the requirements and technical challenges in design and development. Further, the test results will be presented to the PSRP for ISS certification.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
start and due dates, dependencies and a schedule of forecasted costing	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0
Microbial growth negatively affected by microgravity with subsequent unacceptable decrease in target products. Initial flight tests will yield results and guide mitigation if needed.	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0.5	0.5	0	0
Shelf-life of stored microbes will not adequately allow for feasible use of this system for longer duration missions. Approaches for increasing stasis are incorporated into testing. Will require years to determine effects on all test strains.	0	0	0	1	0	0	1	0	0	0	0	0	0.5	0	0	0.5	0	0	0	0	0	0.75	0	0	0.75	0	0
Delays in sample analysis and potential flight operations delays due to Covid-19 impacts may result in lower fidelity sampling time points and lower sample quality, ultimately impacting overall understanding of system performance.	0	0	0	0	1	0	1	0	1	0	0	0	0	0.75	0	0.75	0	0.75	0	0	0	0	0.25	0	0.25	0	0.25
Launch and crew time schedule misalignment may result in lower fidelity sampling time points, potentially impacting overall understanding of system performance.	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0	0.5
